## base_source

### 0 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8776595592498779, 0.6792452931404114, None, None, 1426, 7079503, 17387825
a2d, 0.8971630930900574, 0.6800000071525574, None, None, 1426, 1280896, 12421123
w2a, 0.9937106966972351, 0.4556737542152405, None, None, 442, 1114033, 11917236
w2d, 0.9874213933944702, 0.9800000190734863, None, None, 441, 1328316, 12199910
d2a, 0.9700000286102295, 0.4645390212535858, None, None, 401, 1063327, 11830512
d2w, 0.9900000095367432, 0.9685534834861755, None, None, 402, 1010693, 11824415

### 2001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8918439745903015, 0.6477987170219421, None, None, 221, 6763172, 17063773
a2d, 0.8758864998817444, 0.6100000143051147, None, None, 222, 1269808, 12408822
w2a, 0.9685534834861755, 0.4521276652812958, None, None, 71, 1102712, 11891212
w2d, 0.9622641801834106, 0.9300000071525574, None, None, 72, 1015135, 11888445
d2a, 0.9399999976158142, 0.45035460591316223, None, None, 82, 1045015, 11812425
d2w, 0.9599999785423279, 0.9119496941566467, None, None, 83, 1008711, 11813738

### 2002
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8829787373542786, 0.6163522005081177, None, None, 223, 1257973, 12409537
a2d, 0.8776595592498779, 0.6600000262260437, None, None, 223, 1252150, 12414486
w2a, 0.955974817276001, 0.4131205677986145, None, None, 72, 1102138, 11903826
w2d, 0.9496855139732361, 0.8799999952316284, None, None, 72, 1033249, 11902891
d2a, 0.9100000262260437, 0.3989361822605133, None, None, 82, 1060276, 11816066
d2w, 0.9200000166893005, 0.8805031180381775, None, None, 83, 1002447, 11816326

### 2003
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8794326186180115, 0.6477987170219421, None, None, 223, 1566370, 12704468
a2d, 0.8776595592498779, 0.6800000071525574, None, None, 223, 1232186, 12405626
w2a, 0.9056603908538818, 0.4166666567325592, None, None, 72, 1094300, 11901843
w2d, 0.9622641801834106, 0.9399999976158142, None, None, 72, 1025503, 11900214
d2a, 0.8899999856948853, 0.4485815465450287, None, None, 83, 1685282, 11804622



## mmd 

### 2000
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak, lr, gamma
a2w, 0.8953900933265686, 0.7735849022865295, 59, 3.214950740337372, 1653, 8527239, 46937595
a2d, 0.8758864998817444, 0.6299999952316284, 17, 3.162308230996132, 571, 4554537, 42040553
w2a, 0.9937106966972351, 0.49468085169792175, 27, 2.9193838834762573, 2614, 6893307, 43738760
w2d, 0.9874213933944702, 0.9900000095367432, 9, 3.361117247492075, 364, 3879807, 30377229
d2a, 0.949999988079071, 0.5177304744720459, 6, 2.88727068901062, 1149, 5492723, 36421940
d2w, 0.9700000286102295, 0.9622641801834106, 19, 3.32981576025486, 668, 4843398, 37063217

### 2001

### 2002

## coral

### 2000 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak, lr, gamma
a2w, 0.8918439745903015, 0.7358490824699402, 33, 3.0030057430267334, 1042, 5802700, 41174273
a2d, 0.8794326186180115, 0.6200000047683716, 5, 3.0924810469150543, 318, 3761721, 35427656
w2a, 0.9937106966972351, 0.5159574747085571, 8, 2.880995362997055, 1273, 5101874, 33304467
w2d, 0.9874213933944702, 0.9900000095367432, 39, 3.360944664105773, 910, 5665475, 34713120
d2a, 0.9700000286102295, 0.5283687710762024, 5, 2.8403939604759216, 1077, 4705052, 34729883
d2w, 0.9900000095367432, 0.9433962106704712, 21, 3.3220353946089745, 714, 5192445, 34295421

### 2001

### 2002

## dann

### 2000
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak, lr, gamma
a2w, 0.8421986103057861, 0.7861635088920593, 53, 3.180735468864441, 1162, 8708011, 38493014
a2d, 0.868794322013855, 0.6499999761581421, 15, 3.098368316888809, 451, 5289267, 40731294
w2a, 0.9811320900917053, 0.5301418304443359, 3, 2.931324750185013, 743, 3621123, 32180162
w2d, 0.9811320900917053, 0.9900000095367432, 35, 3.3579967953264713, 765, 7740539, 29614145
d2a, 0.9800000190734863, 0.5354610085487366, 5, 2.897089272737503, 875, 4404322, 32602008
d2w, 0.9700000286102295, 0.955974817276001, 19, 3.3279877603054047, 562, 4033421, 26437513

### 2001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak, lr, gamma
a2w, 0.8670212626457214, 0.7672955989837646, 30, 3.1047199070453644, 787, 5908176, 46955118
a2d, 0.8741135001182556, 0.6600000262260437, 30, 3.1630197018384933, 737, 6781504, 48120684
w2a, 0.9811320900917053, 0.5265957713127136, 4, 2.8050830364227295, 798, 4318016, 40848492
w2d, 0.9874213933944702, 0.9900000095367432, 25, 3.353213394060731, 601, 7146010, 37228594
d2a, 0.9599999785423279, 0.5248227119445801, 17, 2.872214138507843, 1562, 5792738, 45428670
d2w, 0.9599999785423279, 0.9433962106704712, 7, 3.31393476575613, 336, 3325236, 32002210

### 2002

## mcd

### 2000
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak, lr, gamma
a2w, 0.868794322013855, 0.6792452931404114, 1, 2.828348696231842, 460, 3518916, 37369762
a2d, 0.8723404407501221, 0.6299999952316284, 1, 3.031599223613739, 358, 4151065, 35695992
w2a, 0.6792452931404114, 0.1773049682378769, 1, 0.0036699771881103516, 1500, 3667448, 37041023
w2d, 0.9937106966972351, 0.9800000190734863, 21, 3.3606475926935673, 952, 5700509, 41818132
