## DANN

pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.6163522005081177, 0.6163522005081177, 1, 2.0091668367385864, 215, 15318406, 35824552
a2d, 0.7099999785423279, 0.7099999785423279, 1, 2.4713178277015686, 208, 3295500, 26481062
w2a, 0.6542553305625916, 0.6542553305625916, 6, 2.197201371192932, 907, 4336732, 31689125
w2d, 0.9300000071525574, 0.9300000071525574, 1, 2.871200144290924, 193, 2871883, 24506783
d2a, 0.6329787373542786, 0.6329787373542786, 9, 1.4314478635787964, 1092, 4280086, 31372559
d2w, 0.8679245114326477, 0.8679245114326477, 8, 1.703378677368164, 346, 3903480, 26884218

## MCD

pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.6666666865348816, 0.6666666865348816, 7, 1.4417740106582642, 1723, 15787793, 39527410
a2d, 0.6800000071525574, 0.6800000071525574, 8, 1.78191077709198, 1336, 4397453, 30462034
w2a, 0.6223404407501221, 0.6223404407501221, 13, 1.3403592109680176, 3673, 4902871, 32237547
w2d, 0.9300000071525574, 0.9300000071525574, 1, 2.567581534385681, 380, 3492281, 23893121
d2a, 0.5833333134651184, 0.5833333134651184, 5, 0.8786554336547852, 2015, 3988237, 25639282
d2w, 0.8553459048271179, 0.8553459048271179, 3, 1.831976056098938, 536, 3589601, 21687227

## CORAL

pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.6352201104164124, 0.6352201104164124, 9, 1.9573285579681396, 367, 4786898, 30912153
a2d, 0.699999988079071, 0.699999988079071, 1, 2.4594438672065735, 207, 3988946, 24968042
w2a, 0.6542553305625916, 0.6542553305625916, 9, 2.0832985639572144, 1066, 4828642, 31155206
w2d, 0.9100000262260437, 0.9100000262260437, 1, 2.9449999034404755, 194, 3381905, 21900387
d2a, 0.609929084777832, 0.609929084777832, 10, 1.4382578134536743, 1147, 5212674, 31082437
d2w, 0.8616352081298828, 0.8616352081298828, 1, 1.7732857465744019, 208, 3025027, 21944422

## MMD 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.6603773832321167, 0.6603773832321167, 6, 1.9450289011001587, 316, 4698634, 32377919
a2d, 0.6700000166893005, 0.6700000166893005, 1, 2.3611143827438354, 208, 3201804, 28903703
w2a, 0.6418439745903015, 0.6418439745903015, 12, 2.134353756904602, 1246, 5154704, 35299155
w2d, 0.8999999761581421, 0.8999999761581421, 1, 2.904103308916092, 194, 3524409, 23202817
d2a, 0.6241135001182556, 0.6241135001182556, 6, 1.4972022771835327, 923, 5753280, 31084300
d2w, 0.8427672982215881, 0.8427672982215881, 1, 1.7030915021896362, 217, 2744721, 25383094

## CDAN 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.5911949872970581, 0.5911949872970581, 1, 2.022674798965454, 222, 3438004, 27453097
a2d, 0.6700000166893005, 0.6700000166893005, 1, 2.4445075392723083, 209, 3492236, 26579623
w2a, 0.6631205677986145, 0.6631205677986145, 3, 2.203202486038208, 744, 3666692, 28039875
w2d, 0.9200000166893005, 0.9200000166893005, 1, 2.892128497362137, 193, 2787171, 24453577
d2a, 0.6028369069099426, 0.6028369069099426, 18, 1.4467880725860596, 1615, 5099743, 33670309
d2w, 0.8616352081298828, 0.8616352081298828, 15, 1.8201091289520264, 481, 4871090, 25528768

## END
