## base_source

### 0 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
d2a, 0.949999988079071, 0.48049646615982056, 19, 2.885099560022354, 2163, 4881149, 35596278
d2w, 0.9700000286102295, 0.9748427867889404, 24, 3.3565486781299114, 782, 4700926, 28387659

### 1001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.859929084777832, 0.7295597195625305, 5, 2.9994973838329315, 371, 4476927, 36673645
a2d, 0.8617021441459656, 0.6800000071525574, 15, 3.1425900608301163, 525, 5523267, 36809681
w2a, 0.9874213933944702, 0.5053191781044006, 5, 2.84000301361084, 1068, 5584756, 36856732
w2d, 0.9937106966972351, 0.9900000095367432, 50, 3.3697669189423323, 1841, 6984151, 39793065
d2a, 0.9700000286102295, 0.4964539110660553, 9, 2.8017178773880005, 2068, 4996444, 36816151
d2w, 0.9700000286102295, 0.9622641801834106, 5, 3.3503061570227146, 354, 3146994, 31347246

### 1002
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8741135001182556, 0.698113203048706, 24, 3.0052036941051483, 820, 5971456, 46718113
a2d, 0.8758864998817444, 0.6899999976158142, 33, 3.144149050116539, 889, 6664330, 47836910
w2a, 0.9937106966972351, 0.4858156144618988, 15, 2.9183928072452545, 1768, 4794915, 45116213
w2d, 0.9874213933944702, 0.9900000095367432, 2, 3.3619823213666677, 232, 2705483, 32930776
d2a, 0.9800000190734863, 0.4822694957256317, 20, 2.9207264482975006, 2136, 7093293, 45986922
d2w, 0.9800000190734863, 0.9622641801834106, 1, 3.348983194679022, 261, 3506407, 32680257

## dann

### 1000 
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8546099066734314, 0.8301886916160583, 28, 3.1292872428894043, 732, 17693902, 47519849
a2d, 0.8617021441459656, 0.7200000286102295, 15, 3.1246482133865356, 458, 4640220, 33573633
w2a, 0.9874213933944702, 0.5195035338401794, 1, 2.886054217815399, 629, 4420732, 32809297
w2d, 0.9937106966972351, 0.9800000190734863, 1, 3.365539323538542, 192, 2737084, 25008783
d2a, 0.9800000190734863, 0.5053191781044006, 7, 2.8062869906425476, 982, 4263787, 35720468
d2w, 0.9599999785423279, 0.9685534834861755, 2, 3.338745389133692, 237, 2991374, 24971116

### 1001
pair, source_acc, target_acc, best_epoch, best_score, time, cur, peak
a2w, 0.8528369069099426, 0.8176100850105286, 36, 3.1570553183555603, 894, 7146210, 46163687
a2d, 0.868794322013855, 0.6499999761581421, 2, 3.0975193679332733, 225, 3920893, 36408354
w2a, 0.9748427867889404, 0.5443262457847595, 14, 2.921140491962433, 1358, 5462035, 44845489
