## base_source

### 0 
pair, source_acc, target_acc, best_epoch, time
d2w, 0.9800000190734863, 0.9308176040649414, 29, 1173

### 2
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8563829660415649, 0.7106918096542358, 45, 1298
a2d, 0.8581560254096985, 0.6299999952316284, 22, 913

## coral

### 0 
pair, source_acc, target_acc, best_epoch, time
a2w, 0.859929084777832, 0.7295597195625305, 45, 1595
a2d, 0.8723404407501221, 0.7699999809265137, 44, 1385
w2d, 0.9874213933944702, 0.9700000286102295, 50, 1339
w2a, 0.9874213933944702, 0.457446813583374, 15, 1733
d2a, 0.9399999976158142, 0.5159574747085571, 25, 3049
d2w, 0.9399999976158142, 0.9496855139732361, 28, 1198

### 1
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8705673813819885, 0.7232704162597656, 50, 1407
a2d, 0.8546099066734314, 0.6899999976158142, 38, 2208
w2d, 0.9874213933944702, 0.9800000190734863, 18, 1002
w2a, 0.9811320900917053, 0.4716311991214752, 11, 1477
d2a, 0.949999988079071, 0.423758864402771, 25, 3208
d2w, 0.9800000190734863, 0.9496855139732361, 21, 1026

### 2


## dann

### 0 
pair, source_acc, target_acc, best_epoch, time
// a2w, 0.5921986103057861, 0.5157232880592346, 1, 62
// a2d, 0.6081560254096985, 0.4000000059604645, 1, 40
a2w, 0.7960993051528931, 0.6666666865348816, 20, 2200
// a2d, 0.8031914830207825, 0.5699999928474426, 45, 2644
w2a, 0.9496855139732361, 0.4822694957256317, 46, 11372
w2d, 0.9811320900917053, 0.9700000286102295, 47, 2360
d2a, 0.9800000190734863, 0.46985816955566406, 9, 4928
d2w, 0.9399999976158142, 0.893081784248352, 34, 2682

### 1
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7854610085487366, 0.698113203048706, 26, 2530
a2d, 0.8031914830207825, 0.5899999737739563, 75, 4441
w2a, 0.9748427867889404, 0.5195035338401794, 14, 6830
w2d, 0.9748427867889404, 0.9700000286102295, 43, 2150
d2a, 0.9100000262260437, 0.46985816955566406, 3, 2595
d2w, 0.9800000190734863, 0.9433962106704712, 21, 1823

### 2
pair, source_acc, target_acc, best_epoch, time
a2w, 0.783687949180603, 0.6729559898376465, 20, 1951
a2d, 0.7907801270484924, 0.5299999713897705, 40, 2354
w2a, 0.9685534834861755, 0.5, 7, 3417
w2d, 0.9874213933944702, 0.9200000166893005, 25, 1438
d2a, 0.9599999785423279, 0.4716311991214752, 5, 3003
d2w, 0.9700000286102295, 0.9496855139732361, 16, 1509

### 3
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7730496525764465, 0.6037735939025879, 15, 1614
a2d, 0.7943262457847595, 0.6200000047683716, 30, 1891
w2a, 0.9937106966972351, 0.48758864402770996, 16, 5217
w2d, 0.9874213933944702, 0.949999988079071, 41, 2058
d2a, 0.9399999976158142, 0.5035461187362671, 18, 5640
d2w, 0.9300000071525574, 0.849056601524353, 30, 2344

### 4 
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7695035338401794, 0.6289308071136475, 28, 2458
a2d, 0.804964542388916, 0.5899999737739563, 47, 2044
w2a, 0.9811320900917053, 0.5230496525764465, 23, 5601
w2d, 0.9685534834861755, 0.9599999785423279, 38, 1694
d2a, 0.9100000262260437, 0.42553192377090454, 5, 2561
d2w, 0.949999988079071, 0.9119496941566467, 33, 2147

### 5
pair, source_acc, target_acc, best_epoch, time
a2w, 0.804964542388916, 0.6289308071136475, 15, 1384
a2d, 0.7819148898124695, 0.6299999952316284, 25, 1431
w2a, 0.9622641801834106, 0.4822694957256317, 5, 2936
w2d, 0.9622641801834106, 0.9700000286102295, 39, 1727
d2a, 0.949999988079071, 0.4609929025173187, 9, 3823
d2w, 0.9399999976158142, 0.9182389974594116, 33, 2146

## mcd

### 0 
pair, source_acc, target_acc, best_epoch, time
a2w, 0.48404255509376526, 0.30188679695129395, 4, 1561
a2d, 0.21453900635242462, 0.1899999976158142, 2, 619
w2d, 0.9685534834861755, 0.9900000095367432, 40, 1895
w2a, 0.8238993883132935, 0.2535460889339447, 1, 1660
d2a, 0.15000000596046448, 0.11347517371177673, 5, 2283
d2w, 0.9300000071525574, 0.9119496941566467, 12, 1071


### 1
pair, source_acc, target_acc, best_epoch, time
a2w, 0.7003546357154846, 0.4779874086380005, 7, 819
a2d, 0.347517728805542, 0.14000000059604645, 2, 475
w2d, 0.9874213933944702, 0.9900000095367432, 27, 1764
w2a, 0.9496855139732361, 0.38652482628822327, 4, 2898
d2a, 0.7799999713897705, 0.18262411653995514, 2, 1831

### 2

## cdan

### 0 
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8510638475418091, 0.7421383857727051, 11, 920
a2d, 0.838652491569519, 0.6100000143051147, 16, 796
w2d, 0.9874213933944702, 0.9700000286102295, 15, 691
w2a, 0.9874213933944702, 0.5496453642845154, 5, 998
d2a, 0.949999988079071, 0.5407801270484924, 27, 3100
d2w, 0.9399999976158142, 0.8993710875511169, 11, 646

### 1
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8528369069099426, 0.7232704162597656, 36, 1211
a2d, 0.8546099066734314, 0.6000000238418579, 16, 738
w2d, 0.9874213933944702, 0.9800000190734863, 17, 749
w2a, 0.9937106966972351, 0.5106382966041565, 24,
d2a, 0.9800000190734863, 0.542553186416626, 26, 3830
d2w, 0.9599999785423279, 0.9245283007621765, 15, 968

### 2
pair, source_acc, target_acc, best_epoch, time
a2w, 0.8439716100692749, 0.7547169923782349, 10, 518
a2d, 0.8670212626457214, 0.6200000047683716, 49, 1390
w2d, 0.9874213933944702, 0.9800000190734863, 49, 1364
w2a, 0.9748427867889404, 0.5177304744720459, 8, 1260

## end
